Area Name;Year;Variable;Value
Ramseur;2015;Median Value of Owner Occupied Units;99800
Butner;2015;Median Value of Owner Occupied Units;129600
Macon;2015;Median Value of Owner Occupied Units;70000
Momeyer;2015;Median Value of Owner Occupied Units;102100
Calypso;2015;Median Value of Owner Occupied Units;62000
Casar;2015;Median Value of Owner Occupied Units;75000
Patterson Springs;2015;Median Value of Owner Occupied Units;70300
Archdale;2015;Median Value of Owner Occupied Units;133500
Richfield;2015;Median Value of Owner Occupied Units;93600
Matthews;2015;Median Value of Owner Occupied Units;216500
Cherryville;2015;Median Value of Owner Occupied Units;102500
Rose Hill;2015;Median Value of Owner Occupied Units;92900
Sugar Mountain;2015;Median Value of Owner Occupied Units;290000
Pikeville;2015;Median Value of Owner Occupied Units;88200
Richmond County;2015;Median Value of Owner Occupied Units;78600
Wingate;2015;Median Value of Owner Occupied Units;134800
Wilsons Mills;2015;Median Value of Owner Occupied Units;108800
Mayodan;2015;Median Value of Owner Occupied Units;86100
North Carolina;2015;Median Value of Owner Occupied Units;154900
Roseboro;2015;Median Value of Owner Occupied Units;81100
Four Oaks;2015;Median Value of Owner Occupied Units;118200
Kenly;2015;Median Value of Owner Occupied Units;94800
Selma;2015;Median Value of Owner Occupied Units;85400
Forsyth County;2015;Median Value of Owner Occupied Units;151100
Grantsboro;2015;Median Value of Owner Occupied Units;94100
Forest Hills;2015;Median Value of Owner Occupied Units;280400
Trent Woods;2015;Median Value of Owner Occupied Units;83000
Webster;2015;Median Value of Owner Occupied Units;235200
Scotland County;2015;Population Estimate (BEA per Capita Denominator);35509
Avery County;2015;Persons Living Outside This County Five Years Ago;1843
Polkton;2015;Persons Living Outside This County Five Years Ago;642
Sawmills;2015;Persons Living Outside This County Five Years Ago;106
Long View;2015;Persons Living Outside This County Five Years Ago;346
Charlotte;2015;Persons Living Outside This County Five Years Ago;61589
Biscoe;2015;Persons Living Outside This County Five Years Ago;31
Sharpsburg;2015;Persons Living Outside This County Five Years Ago;240
Chapel Hill;2015;Persons Living Outside This County Five Years Ago;12525
Atkinson;2015;Persons Living Outside This County Five Years Ago;2
Surf City;2015;Persons Living Outside This County Five Years Ago;660
Grimesland;2015;Persons Living Outside This County Five Years Ago;19
Norman;2015;Persons Living Outside This County Five Years Ago;0
East Bend;2015;Persons Living Outside This County Five Years Ago;27
Caswell County;2015;Persons Living Outside This County Five Years Ago;1647
Richmond County;2015;Persons Living Outside This County Five Years Ago;1936
Wayne County;2015;Persons Living Outside This County Five Years Ago;8631
Jefferson;2015;Persons Living Outside This County Five Years Ago;53
Lincolnton;2015;Persons Living Outside This County Five Years Ago;853
Middlesex;2015;Persons Living Outside This County Five Years Ago;80
Marion;2015;Persons Living Outside This County Five Years Ago;689
Clayton;2015;Persons Living Outside This County Five Years Ago;1152
Elizabeth City;2015;Persons Living Outside This County Five Years Ago;1596
Unionville;2015;Persons Living Outside This County Five Years Ago;182
Roseboro;2015;Persons Living Outside This County Five Years Ago;133
King;2015;Persons Living Outside This County Five Years Ago;215
Pinetops;2015;Persons Living Outside This County Five Years Ago;15
Sandyfield;2015;Persons Living Outside This County Five Years Ago;4
Haywood County;2015;Population Estimate (BEA per Capita Denominator);59868
Iredell County;2015;Persons Living Outside This County Five Years Ago;8788
Crossnore;2015;Persons Living Outside This County Five Years Ago;70
Lawndale;2015;Persons Living Outside This County Five Years Ago;15
Leggett;2015;Persons Living Outside This County Five Years Ago;2
Bailey;2015;Persons Living Outside This County Five Years Ago;35
Rennert;2015;Persons Living Outside This County Five Years Ago;0
Eureka;2015;Persons Living Outside This County Five Years Ago;11
Mineral Springs;2015;Persons Living Outside This County Five Years Ago;76
Wallace;2015;Persons Living Outside This County Five Years Ago;177
Maggie Valley;2015;Persons Living Outside This County Five Years Ago;124
Pineville;2015;Persons Living Outside This County Five Years Ago;1128
Aberdeen;2015;Persons Living Outside This County Five Years Ago;924
Pinebluff;2015;Persons Living Outside This County Five Years Ago;56
Bayboro;2015;Persons Living Outside This County Five Years Ago;361
Norwood;2015;Persons Living Outside This County Five Years Ago;164
Graham County;2015;Population Estimate (BEA per Capita Denominator);8616
Orange County;2015;Population Estimate (BEA per Capita Denominator);141354
Dare County;2015;Population Estimate (BEA per Capita Denominator);35663
Rowan County;2015;Population Estimate (BEA per Capita Denominator);139142
Alleghany County;2015;Persons Living Outside This County Five Years Ago;339
Forsyth County;2015;Persons Living Outside This County Five Years Ago;21540
Harnett County;2015;Persons Living Outside This County Five Years Ago;13313
