Area Name;Year;Variable;Value
Guilford County;2015;Average Annual Employment by Place of Work;275949.0
Nash County;2015;Average Annual Employment by Place of Work;40641.0
Macon County;2015;Employment by Place of Residence;14146.0
Buncombe County;2015;Average Annual Wage per Worker;39726.0
Graham County;2015;Average Annual Wage per Worker;35008.0
Warren County;2015;Average Annual Wage per Worker;29895.0
Camden County;2015;Estimated Median Family Income(HUD);73500.0
Carteret County;2015;Employment by Place of Residence;29375.0
Anson County;2015;Employment by Place of Residence;10241.0
Henderson County;2015;Average Annual Wage per Worker;36884.0
Lincoln County;2015;Average Annual Wage per Worker;36005.0
Robeson County;2015;Average Annual Wage per Worker;31592.0
Surry County;2015;Average Annual Wage per Worker;32813.0
Scotland County;2015;Employment by Place of Residence;10545.0
Buncombe County;2015;Employment by Place of Residence;124830.0
Watauga County;2015;Employment by Place of Residence;26000.0
Ashe County;2015;Employment by Place of Residence;11444.0
Currituck County;2015;Employment by Place of Residence;11696.0
Anson County;2015;Estimated Median Family Income(HUD);41500.0
Alleghany County;2015;Average Annual Employment by Place of Work;3358.0
Caldwell County;2015;Average Annual Wage per Worker;34241.0
Surry County;2015;Average Annual Employment by Place of Work;28245.0
Vance County;2015;Average Annual Employment by Place of Work;14961.0
Yancey County;2015;Average Annual Employment by Place of Work;3571.0
Caswell County;2015;Estimated Median Family Income(HUD);51000.0
Chowan County;2015;Estimated Median Family Income(HUD);46100.0
Harnett County;2015;Estimated Median Family Income(HUD);55100.0
Mitchell County;2015;Estimated Median Family Income(HUD);46200.0
Warren County;2015;Estimated Median Family Income(HUD);46700.0
Catawba County;2015;Average Annual Employment by Place of Work;83083.0
Graham County;2015;Average Annual Employment by Place of Work;1950.0
Harnett County;2015;Average Annual Employment by Place of Work;23436.0
McDowell County;2015;Average Annual Wage per Worker;33092.0
Pender County;2015;Average Annual Employment by Place of Work;10952.0
Lenoir County;2015;Estimated Median Family Income(HUD);46800.0
Davidson County;2015;Average Annual Wage per Worker;36460.0
Franklin County;2015;Average Annual Wage per Worker;39361.0
Hyde County;2015;Average Annual Employment by Place of Work;2161.0
New Hanover County;2015;Average Annual Wage per Worker;41467.0
Northampton County;2015;Average Annual Wage per Worker;34052.0
Rutherford County;2015;Average Annual Wage per Worker;32245.0
Wilkes County;2015;Average Annual Employment by Place of Work;21209.0
Craven County;2015;Employment by Place of Residence;38466.0
Chowan County;2015;Employment by Place of Residence;5213.0
Person County;2015;Employment by Place of Residence;17200.0
Cherokee County;2015;Employment by Place of Residence;10417.0
Alamance County;2015;Estimated Median Family Income(HUD);53300.0
Mecklenburg County;2015;Estimated Median Family Income(HUD);67200.0
Caldwell County;2015;Estimated Median Family Income(HUD);53200.0
Dare County;2015;Estimated Median Family Income(HUD);70200.0
Martin County;2015;Average Annual Wage per Worker;28903.0
Perquimans County;2015;Average Annual Employment by Place of Work;1969.0
Transylvania County;2015;Average Annual Employment by Place of Work;8478.0
Gates County;2015;Average Annual Employment by Place of Work;1424.0
Jackson County;2015;Average Annual Employment by Place of Work;12914.0
Johnston County;2015;Average Annual Employment by Place of Work;45811.0
Mitchell County;2015;Employment by Place of Residence;5921.0
Guilford County;2015;Employment by Place of Residence;242293.0
Currituck County;2015;Average Annual Employment by Place of Work;6648.0
Pasquotank County;2015;Employment by Place of Residence;15885.0
Yancey County;2015;Employment by Place of Residence;6888.0
Hertford County;2015;Employment by Place of Residence;8605.0
Mecklenburg County;2015;Average Annual Employment by Place of Work;637378.0
Watauga County;2015;Average Annual Wage per Worker;34129.0
Swain County;2015;Estimated Median Family Income(HUD);57700.0
Vance County;2015;Employment by Place of Residence;16440.0
Davidson County;2015;Employment by Place of Residence;74994.0
Anson County;2015;Average Annual Employment by Place of Work;7494.0
Hertford County;2015;Average Annual Employment by Place of Work;8907.0
Hoke County;2015;Average Annual Employment by Place of Work;7837.0
Madison County;2015;Average Annual Wage per Worker;31481.0
Sampson County;2015;Average Annual Wage per Worker;34629.0
Vance County;2015;Average Annual Wage per Worker;32990.0
Wilson County;2015;Average Annual Employment by Place of Work;36882.0
Alleghany County;2015;Average Annual Wage per Worker;28335.0
Ashe County;2015;Average Annual Wage per Worker;32076.0
Bertie County;2015;Average Annual Employment by Place of Work;6423.0
Cumberland County;2015;Average Annual Wage per Worker;39622.0
Person County;2015;Average Annual Employment by Place of Work;10022.0
Rockingham County;2015;Average Annual Wage per Worker;34796.0
Craven County;2015;Average Annual Wage per Worker;40572.0
Davidson County;2015;Average Annual Employment by Place of Work;41838.0
Davie County;2015;Average Annual Employment by Place of Work;11772.0
Pasquotank County;2015;Average Annual Wage per Worker;35860.0
Avery County;2015;Average Annual Wage per Worker;29786.0
Granville County;2015;Average Annual Wage per Worker;41787.0
Jackson County;2015;Average Annual Wage per Worker;34551.0
Union County;2015;Employment by Place of Residence;105152.0
Washington County;2015;Employment by Place of Residence;4536.0
Rockingham County;2015;Employment by Place of Residence;39445.0
Columbus County;2015;Average Annual Wage per Worker;33013.0
Lee County;2015;Average Annual Wage per Worker;38322.0
Pitt County;2015;Average Annual Employment by Place of Work;74374.0
Halifax County;2015;Average Annual Wage per Worker;32653.0
Haywood County;2015;Average Annual Employment by Place of Work;16736.0
Caswell County;2015;Average Annual Employment by Place of Work;2975.0
Durham County;2015;Average Annual Wage per Worker;66032.0
Hertford County;2015;Average Annual Wage per Worker;35507.0
Moore County;2015;Average Annual Employment by Place of Work;33120.0
Wilkes County;2015;Estimated Median Family Income(HUD);44200.0
Moore County;2015;Employment by Place of Residence;35869.0
Durham County;2015;Employment by Place of Residence;146969.0
Hyde County;2015;Estimated Median Family Income(HUD);48700.0
Chowan County;2015;Average Annual Employment by Place of Work;4556.0
Macon County;2015;Average Annual Employment by Place of Work;10840.0
Scotland County;2015;Average Annual Employment by Place of Work;11804.0
Jones County;2015;Employment by Place of Residence;4299.0
Clay County;2015;Employment by Place of Residence;3861.0
Rutherford County;2015;Employment by Place of Residence;23109.0
Madison County;2015;Estimated Median Family Income(HUD);55900.0
Alexander County;2015;Employment by Place of Residence;16350.0
Cleveland County;2015;Average Annual Employment by Place of Work;33946.0
Columbus County;2015;Average Annual Employment by Place of Work;15454.0
Haywood County;2015;Average Annual Wage per Worker;34268.0
Wake County;2015;Average Annual Wage per Worker;52985.0
Alamance County;2015;Employment by Place of Residence;74322.0
Forsyth County;2015;Average Annual Employment by Place of Work;180479.0
Randolph County;2015;Average Annual Wage per Worker;34208.0
Harnett County;2015;Average Annual Wage per Worker;32857.0
Lenoir County;2015;Average Annual Employment by Place of Work;27695.0
Montgomery County;2015;Average Annual Employment by Place of Work;9231.0
Rockingham County;2015;Average Annual Employment by Place of Work;26042.0
Carteret County;2015;Estimated Median Family Income(HUD);64100.0
Duplin County;2015;Estimated Median Family Income(HUD);44500.0
Guilford County;2015;Estimated Median Family Income(HUD);54000.0
Macon County;2015;Estimated Median Family Income(HUD);48900.0
Transylvania County;2015;Estimated Median Family Income(HUD);54100.0
Edgecombe County;2015;Employment by Place of Residence;20777.0
Granville County;2015;Employment by Place of Residence;26956.0
McDowell County;2015;Employment by Place of Residence;19924.0
Cleveland County;2015;Estimated Median Family Income(HUD);50300.0
Anson County;2015;Average Annual Wage per Worker;32239.0
Edgecombe County;2015;Average Annual Employment by Place of Work;16457.0
Onslow County;2015;Average Annual Employment by Place of Work;48232.0
Stokes County;2015;Average Annual Wage per Worker;29957.0
Swain County;2015;Average Annual Employment by Place of Work;9590.0
Tyrrell County;2015;Average Annual Employment by Place of Work;1146.0
Washington County;2015;Average Annual Employment by Place of Work;3500.0
Yadkin County;2015;Average Annual Wage per Worker;32020.0
Bladen County;2015;Average Annual Employment by Place of Work;12914.0
Duplin County;2015;Average Annual Employment by Place of Work;20105.0
Lenoir County;2015;Average Annual Wage per Worker;34702.0
Stanly County;2015;Average Annual Wage per Worker;32532.0
Henderson County;2015;Estimated Median Family Income(HUD);55900.0
Pitt County;2015;Estimated Median Family Income(HUD);53000.0
Robeson County;2015;Estimated Median Family Income(HUD);35700.0
Edgecombe County;2015;Estimated Median Family Income(HUD);48000.0
Polk County;2015;Estimated Median Family Income(HUD);53000.0
Stokes County;2015;Employment by Place of Residence;21056.0
Surry County;2015;Employment by Place of Residence;31180.0
Caswell County;2015;Average Annual Wage per Worker;31990.0
Cumberland County;2015;Average Annual Employment by Place of Work;116988.0
Greene County;2015;Average Annual Employment by Place of Work;4108.0
Jones County;2015;Average Annual Wage per Worker;33620.0
Randolph County;2015;Average Annual Employment by Place of Work;44385.0
Richmond County;2015;Average Annual Wage per Worker;32958.0
Wilson County;2015;Average Annual Wage per Worker;40510.0
Onslow County;2015;Employment by Place of Residence;60905.0
Chatham County;2015;Estimated Median Family Income(HUD);67400.0
Stanly County;2015;Estimated Median Family Income(HUD);59000.0
Wayne County;2015;Employment by Place of Residence;50336.0
Buncombe County;2015;Average Annual Employment by Place of Work;123856.0
Carteret County;2015;Average Annual Employment by Place of Work;22745.0
McDowell County;2015;Average Annual Employment by Place of Work;16330.0
Stanly County;2015;Average Annual Employment by Place of Work;18798.0
Watauga County;2015;Average Annual Employment by Place of Work;22294.0
Hertford County;2015;Estimated Median Family Income(HUD);45200.0
Gates County;2015;Estimated Median Family Income(HUD);61800.0
Avery County;2015;Average Annual Employment by Place of Work;6655.0
Henderson County;2015;Average Annual Employment by Place of Work;35281.0
Mitchell County;2015;Average Annual Employment by Place of Work;4819.0
Robeson County;2015;Average Annual Employment by Place of Work;39031.0
Rowan County;2015;Average Annual Employment by Place of Work;46871.0
Warren County;2015;Average Annual Employment by Place of Work;3425.0
Caswell County;2015;Employment by Place of Residence;9058.0
Madison County;2015;Employment by Place of Residence;9076.0
